Date,Open,High,Low,Close,Adj Close,Volume,Company
2017-01-03,28.1,28.32,28.040001,28.290001,28.290001,894900,SONY
2017-01-04,28.48,28.66,28.42,28.58,28.58,910500,SONY
2017-01-05,28.540001,28.790001,28.43,28.719998999999998,28.719998999999998,1027500,SONY
2017-01-06,28.57,29.040001,28.530001000000002,28.959999,28.959999,964800,SONY
2017-01-09,28.74,28.950001,28.74,28.82,28.82,648700,SONY
2017-01-10,29.4,29.65,29.379998999999998,29.530001000000002,29.530001000000002,848200,SONY
2017-01-11,30.190001000000002,30.459999,30.129998999999998,30.440001000000002,30.440001000000002,1217100,SONY
2017-01-12,30.790001,30.9,30.610001,30.870001000000002,30.870001000000002,2038600,SONY
2017-01-13,30.879998999999998,31.08,30.809998999999998,31.02,31.02,805300,SONY
2017-01-17,31.0,31.059998999999998,30.83,30.860001,30.860001,739900,SONY
2017-01-18,30.809998999999998,30.83,30.6,30.709999,30.709999,571700,SONY
2017-01-19,30.5,30.610001,30.35,30.4,30.4,825200,SONY
2017-01-20,30.34,30.540001,30.32,30.5,30.5,796800,SONY
2017-01-23,30.35,30.469998999999998,30.24,30.43,30.43,538900,SONY
2017-01-24,30.41,30.5,30.35,30.49,30.49,493100,SONY
2017-01-25,30.5,30.82,30.49,30.790001,30.790001,795500,SONY
2017-01-26,30.93,31.200001,30.93,31.120001000000002,31.120001000000002,946700,SONY
2017-01-27,30.66,30.92,30.4,30.52,30.52,703100,SONY
2017-01-03,121.860001,122.0,118.959999,119.620003,117.31024199999999,5123800,MCDONALD_S
2017-01-04,119.0,119.739998,118.18,119.480003,117.172951,3780800,MCDONALD_S
2017-01-05,119.339996,120.199997,119.099998,119.699997,117.388695,4261100,MCDONALD_S
2017-01-06,118.93,121.5,118.519997,120.760002,118.42823,4089200,MCDONALD_S
2017-01-09,120.760002,121.059998,120.33000200000001,120.43,118.104607,2976700,MCDONALD_S
2017-01-10,120.459999,120.849998,119.730003,120.25,117.928078,3108400,MCDONALD_S
2017-01-11,120.93,121.5,120.620003,120.879997,118.545914,3565200,MCDONALD_S
2017-01-12,120.300003,122.309998,120.199997,122.099998,119.74234799999999,3480700,MCDONALD_S
2017-01-13,122.239998,122.239998,121.099998,121.5,119.15393799999998,2877400,MCDONALD_S
2017-01-17,120.75,122.800003,120.699997,122.75,120.379807,4069800,MCDONALD_S
2017-01-18,122.809998,123.0,121.800003,122.709999,120.340576,3395000,MCDONALD_S
2017-01-19,122.239998,123.0,122.040001,122.18,119.82080800000001,3153700,MCDONALD_S
2017-01-20,122.260002,122.949997,122.019997,122.260002,119.89926100000001,4887100,MCDONALD_S
2017-01-23,121.690002,122.08000200000001,119.82,121.379997,119.03625500000001,7022600,MCDONALD_S
2017-01-24,121.970001,122.059998,120.519997,121.050003,118.712631,3495200,MCDONALD_S
2017-01-25,121.489998,121.91999799999999,120.949997,121.790001,119.43833899999998,3968300,MCDONALD_S
2017-01-26,121.860001,122.379997,121.760002,121.879997,119.526596,2497300,MCDONALD_S
2017-01-27,122.269997,122.989998,121.480003,122.860001,120.48768600000001,3554200,MCDONALD_S
2017-01-03,31.67,31.84,31.4,31.690001000000002,30.867821000000003,32149500,GE
2017-01-04,31.75,31.83,31.620001000000002,31.700001,30.877563000000002,21442900,GE
2017-01-05,31.57,31.75,31.309998999999998,31.52,30.70223,25856800,GE
2017-01-06,31.58,31.77,31.360001,31.610001,30.789896000000002,22120800,GE
2017-01-09,31.639999,31.66,31.43,31.459999,30.643784999999998,21112100,GE
2017-01-10,31.459999,31.620001000000002,31.370001000000002,31.370001000000002,30.556124,27202500,GE
2017-01-11,31.24,31.52,31.24,31.469998999999998,30.653528,28385100,GE
2017-01-12,31.450001,31.469998999999998,31.129998999999998,31.389999,30.575603000000005,29731400,GE
2017-01-13,31.360001,31.450001,31.25,31.360001,30.546381,24323800,GE
2017-01-17,31.17,31.450001,31.16,31.27,30.458719,28717900,GE
2017-01-18,31.209999,31.34,31.129998999999998,31.23,30.419753999999998,24701400,GE
2017-01-19,31.25,31.34,31.049999,31.209999,30.400271999999998,37571200,GE
2017-01-20,30.76,30.9,30.299999,30.530001000000002,29.737919,83552700,GE
2017-01-23,30.5,30.51,29.58,29.75,28.978153000000002,59093400,GE
2017-01-24,29.860001,30.059998999999998,29.82,30.0,29.221666,33686500,GE
2017-01-25,30.42,30.469998999999998,30.219998999999998,30.370001000000002,29.582067,38131700,GE
2017-01-26,30.440001000000002,30.49,30.129998999999998,30.32,29.533363,26767100,GE
2017-01-27,30.4,30.440001000000002,29.940001000000002,30.01,29.231407,29889800,GE
2017-01-03,55.669998,56.349998,55.459998999999996,56.0,54.836361,22063800,WELLS_FARGO
