SONY, SNE
MCDONALD_S, MCD
GE, GE
WELLS_FARGO, WFC
YAHOO, YHOO
WAL_MART, WMT
BOEING, BA
EXXONMOBIL, XOM
SHELL, RDS-A
HSBC, HSBC
APPLE, AAPL
MONSANTO, MON
PETROBRAS, PZE
J_P_MORGAN, JPM
CHEVRON, CVX
JOHNSON_AND_JOHNSON, JNJ
TOYOTA, TM
GOLDMAN_SACHS, GS
ORACLE, ORCL
FIAT_1, FCAU
DEUTSCHE_BANK, DB
VERIZON, VZ
IBM, IBM
TESLA_MOTORS, TSLA
AT_T, T
COCA_COLA, KO
CISCO, CSCO
HALLIBURTON, HAL
MACY_S, M
HEWLETT_PACKARD, HPQ
PFIZER, PFE
NIKE, NKE
FACEBOOK_INC, FB
MICROSOFT, MSFT
DUPONT, DD
INTEL, INTC
CATERPILLAR, CAT
AETNA, AET
COSTCO, COST
VISA, V
CVS, CVS
PROCTER_GAMBLE, PG
TWENTYFIRST_CENTURY_FOX, FOX
DISNEY, DIS
3M, MMM
SCHLUMBERGER, SLB
ALIBABA_GROUP, BABA
RIO_TINTO, RIO
BIOGEN, BIIB
CONOCOPHILLIPS, COP
AMERICAN_EXPRESS, AXP
HOME_DEPOT, HD
SAP, SAP
AMAZON_COM, AMZN
MERCK_KGAA, MRK
ALPHABET_INC, GOOG
UNITED_TECHNOLOGIES, UTX
SHIRE, SHPG
MONDELEZ_INTERNATIONAL, MDLZ
CANON, CAJ
BOSTON_SCIENTIFIC, BSX
FORD, F
BERKSHIRE_HATHAWAY, BRK-A
TEVA_PHARMACEUTICALS, TEVA
CELGENE_CORPORATION, CELG
TARGET_CORPORATION, TGT
UNITEDHEALTH_GROUP, UNH
GILEAD_SCIENCES, GILD
HONDA, HMC
STERICYCLE, SRCL
FRESENIUS, FMS
BAIDU, BIDU
KBR, KBR
TERADATA_CORPORATION, TDC
TRANSOCEAN, RIG
GOODYEAR, GT
FRESENIUS_MEDICAL_CARE, FMS
FLIR_SYSTEMS, FLIR
AMG, AMG
CONTINENTAL, CLR
TRAVELERS_COS, TRV
MICHAEL_KORS_HOLDINGS, KORS
PANDORA, P
RICHMONT_MINES, RIC
ROBERT_HALF_INTERNATIONAL, RHI
REALTY_INCOME, O
FERRARI, RACE
MICHAELS_STORES, MIK
BAT, BTI
SONY_ERICSSON, ERIC
BRITISH_AIRWAYS, IAG.L
VOLKSWAGEN, ETR:VOW3
SAMSUNG, KRX:005930
NESTLE, VTX:NESN
LUFTHANSA, ETR:LHA
TOSHIBA, FRA:TSE1
BMW, ETR:BMW
BAYER, ETR:BAYN
BASF, ETR:BAS
ADIDAS, ETR:ADS
DEUTSCHE_TELEKOM, ETR:DTE
ALLIANZ, ETR:ALV
DEUTSCHE_BORSE_AG, ETR:DB1
COMMERZBANK, ETR:CBK
INMARSAT, LON:ISAT
E_ON, ETR:EOAN
RWE, ETR:RWE
THYSSEN, ETR:TKA
INFINEON, ETR:IFX
DAIMLERCHRYSLER, ETR:DAI
HENKEL, ETR:HEN
LINDE, ETR:LIN
HEIDELBERGCEMENT, ETR:HEI
FEMSA, BMV:FEMSAUBD
SIEMENS, ETR:SIE
VONOVIA, ETR:VNA
GERRY_WEBER_INTERNATIONAL, ETR:GWI1
DEUTSCHE_POST, ETR:DPW
BEIERSDORF_AG, ETR:BEI
VIENNA_INSURANCE_GROUP_VIG, VIE:VIG
RENISHAW, LON:RSW
PROSIEBENSAT1_MEDIA, ETR:PSM
NEXT, LON:NXT
MUNICH_RE, ETR:MUV2
