Date,Open,High,Low,Close,Volume,Company
2017-03-01,31.26,31.55,31.22,31.53,1103400,SONY
2017-03-02,31.4,31.52,31.36,31.41,1097771,SONY
2017-03-03,31.56,31.67,31.44,31.56,952816,SONY
2017-03-06,31.32,31.32,31.1,31.18,537795,SONY
2017-03-07,31.01,31.03,30.82,30.85,476442,SONY
2017-03-08,30.88,30.92,30.72,30.74,367812,SONY
2017-03-09,30.85,30.96,30.73,30.82,558052,SONY
2017-03-10,31.72,31.85,31.52,31.71,1190113,SONY
2017-03-13,31.8,31.91,31.8,31.9,642248,SONY
2017-03-14,31.7,31.7,31.4,31.46,431463,SONY
2017-03-15,31.5,31.74,31.29,31.69,631219,SONY
2017-03-16,31.88,32.0,31.83,31.89,592352,SONY
2017-03-17,32.06,32.18,32.04,32.09,418575,SONY
2017-03-20,32.16,32.22,32.02,32.13,338261,SONY
2017-03-21,32.2,32.28,31.75,31.76,681527,SONY
2017-03-22,31.85,32.01,31.79,31.98,435304,SONY
2017-03-23,31.92,31.92,31.66,31.78,621235,SONY
2017-03-24,32.28,32.41,32.18,32.21,527495,SONY
2017-03-27,32.25,32.49,32.15,32.49,504947,SONY
2017-03-28,32.48,32.5,32.31,32.46,343641,SONY
2017-03-29,33.15,33.24,33.04,33.15,945244,SONY
2017-03-30,33.52,33.62,33.46,33.48,819687,SONY
2017-03-31,33.71,33.78,33.59,33.73,647027,SONY
2017-03-01,128.02,130.0,127.62,129.05,5471550,MCDONALD_S
2017-03-02,129.05,129.81,128.15,128.23,6738068,MCDONALD_S
2017-03-03,128.19,128.66,127.44,127.9,4071613,MCDONALD_S
2017-03-06,127.9,128.34,127.4,128.03,3271529,MCDONALD_S
2017-03-07,128.06,128.31,127.34,128.07,3332350,MCDONALD_S
2017-03-08,128.07,128.36,127.47,128.09,3571805,MCDONALD_S
2017-03-09,127.95,128.72,127.69,128.14,3266027,MCDONALD_S
2017-03-10,128.56,128.59,127.72,127.98,3178943,MCDONALD_S
2017-03-13,128.01,128.27,127.35,127.61,3130804,MCDONALD_S
2017-03-14,127.65,128.23,127.5,127.8,2492670,MCDONALD_S
2017-03-15,128.21,128.3,127.47,127.88,3529288,MCDONALD_S
2017-03-16,128.3,128.9,127.93,127.98,3945669,MCDONALD_S
2017-03-17,128.57,129.98,128.42,128.64,12532692,MCDONALD_S
2017-03-20,128.99,129.48,128.47,128.78,3415501,MCDONALD_S
2017-03-21,129.22,129.75,128.18,128.52,4062394,MCDONALD_S
2017-03-22,128.58,129.15,128.41,129.1,3174246,MCDONALD_S
2017-03-23,129.14,129.59,128.81,129.0,2774527,MCDONALD_S
2017-03-24,129.38,129.68,129.16,129.34,3568234,MCDONALD_S
2017-03-27,129.08,129.82,129.02,129.49,2540421,MCDONALD_S
2017-03-28,129.46,129.77,128.94,129.45,3487426,MCDONALD_S
2017-03-29,129.0,129.67,128.63,128.84,3197762,MCDONALD_S
2017-03-30,128.75,129.53,128.6,129.32,2018028,MCDONALD_S
2017-03-31,129.39,130.19,129.3,129.61,3041677,MCDONALD_S
2017-03-01,29.98,30.35,29.82,30.19,36882966,GE
2017-03-02,30.23,30.23,30.0,30.19,27640415,GE
2017-03-03,30.19,30.22,30.05,30.12,19994647,GE
2017-03-06,30.0,30.08,29.92,30.0,23420603,GE
2017-03-07,29.93,29.98,29.79,29.86,29982940,GE
2017-03-08,29.89,29.94,29.73,29.8,32308399,GE
2017-03-09,29.75,29.83,29.56,29.66,25940215,GE
2017-03-10,29.84,30.43,29.63,30.28,59211872,GE
2017-03-13,30.23,30.26,29.79,29.86,30187808,GE
2017-03-14,29.76,29.79,29.47,29.54,22801581,GE
2017-03-15,29.55,29.83,29.47,29.76,25142833,GE
2017-03-16,29.8,29.82,29.62,29.75,21207002,GE
2017-03-17,29.85,30.04,29.77,29.88,43638968,GE
2017-03-20,29.9,29.92,29.69,29.74,18877431,GE
2017-03-21,29.86,29.86,29.34,29.39,26834807,GE
2017-03-22,29.56,29.71,29.31,29.53,26000688,GE
2017-03-23,29.5,29.73,29.38,29.62,24674960,GE
2017-03-24,29.59,29.81,29.53,29.72,27880234,GE
2017-03-27,29.45,29.51,29.25,29.44,28986703,GE
2017-03-28,29.31,29.73,29.25,29.62,27847655,GE
2017-03-29,29.52,29.71,29.46,29.68,27558771,GE
2017-03-30,29.66,29.99,29.63,29.87,35961302,GE
2017-03-31,29.86,30.04,29.74,29.8,50796542,GE
2017-03-01,59.11,59.99,59.09,59.73,25912728,WELLS_FARGO
2017-03-02,59.78,59.79,58.56,58.71,17578616,WELLS_FARGO
2017-03-03,58.85,59.24,58.67,58.89,14753743,WELLS_FARGO
2017-03-06,58.54,58.88,58.18,58.61,13225468,WELLS_FARGO
2017-03-07,58.43,58.52,58.02,58.3,13099877,WELLS_FARGO
2017-03-08,58.95,59.13,58.16,58.21,14711295,WELLS_FARGO
2017-03-09,58.46,58.87,58.2,58.7,15721476,WELLS_FARGO
2017-03-10,58.98,59.18,58.52,58.85,15120176,WELLS_FARGO
2017-03-13,58.83,59.03,58.52,58.7,14063472,WELLS_FARGO
2017-03-14,58.49,58.81,58.24,58.76,10885031,WELLS_FARGO
2017-03-15,58.9,59.31,58.36,58.71,17777338,WELLS_FARGO
2017-03-16,58.86,59.41,58.76,59.32,18468200,WELLS_FARGO
2017-03-17,59.37,59.41,58.52,58.67,20985674,WELLS_FARGO
2017-03-20,58.47,58.47,57.62,57.63,17663194,WELLS_FARGO
2017-03-21,57.93,57.96,55.63,55.85,31766385,WELLS_FARGO
2017-03-22,55.53,55.57,54.85,55.33,27740860,WELLS_FARGO
2017-03-23,55.23,55.99,54.98,55.25,18999983,WELLS_FARGO
2017-03-24,55.5,56.05,55.22,55.83,21127464,WELLS_FARGO
2017-03-27,54.63,55.58,54.24,55.39,16854761,WELLS_FARGO
2017-03-28,55.35,56.25,55.24,55.96,14878890,WELLS_FARGO
2017-03-29,55.94,56.09,55.55,55.67,10329113,WELLS_FARGO
2017-03-30,55.68,56.43,55.61,56.24,12106538,WELLS_FARGO
2017-03-31,56.02,56.18,55.62,55.66,11864615,WELLS_FARGO
2017-03-01,45.89,46.41,45.89,46.24,7258451,YAHOO
2017-03-02,46.02,46.13,45.62,45.94,7017056,YAHOO
2017-03-03,45.88,46.0,45.6,45.91,6758310,YAHOO
2017-03-06,45.61,45.69,45.39,45.64,6694863,YAHOO
2017-03-07,45.5,45.92,45.49,45.73,5116841,YAHOO
2017-03-08,45.85,46.19,45.73,45.98,3331722,YAHOO
2017-03-09,45.87,46.12,45.68,45.94,3767567,YAHOO
2017-03-10,46.2,46.2,45.75,45.98,3824529,YAHOO
2017-03-13,46.1,47.0,46.1,46.57,4702990,YAHOO
2017-03-14,46.41,46.76,46.19,46.37,3800294,YAHOO
2017-03-15,46.55,46.55,45.9,46.29,6279298,YAHOO
2017-03-16,46.6,46.62,46.3,46.61,3627081,YAHOO
2017-03-17,46.73,46.9,46.5,46.59,6192404,YAHOO
2017-03-20,46.62,47.16,46.52,46.77,5822991,YAHOO
2017-03-21,47.0,47.19,45.68,45.77,6469439,YAHOO
2017-03-22,45.61,46.14,45.6,46.06,6773395,YAHOO
2017-03-23,46.13,46.78,46.09,46.6,8297815,YAHOO
2017-03-24,46.65,46.86,46.14,46.4,5607667,YAHOO
2017-03-27,45.92,46.48,45.74,46.4,6016624,YAHOO
2017-03-28,46.33,46.76,46.24,46.57,4630801,YAHOO
2017-03-29,46.52,46.84,46.3,46.78,4403402,YAHOO
2017-03-30,46.8,47.04,46.6,46.62,3449091,YAHOO
2017-03-31,46.52,46.7,46.27,46.41,7814123,YAHOO
2017-03-01,70.97,71.08,70.15,70.45,13522717,WAL_MART
2017-03-02,70.42,70.9,70.17,70.76,8916264,WAL_MART
2017-03-03,70.81,71.02,69.88,70.03,9303591,WAL_MART
2017-03-06,70.0,70.44,69.78,69.88,9182575,WAL_MART
2017-03-07,69.9,70.21,69.86,69.87,7282861,WAL_MART
2017-03-08,69.69,70.03,69.54,69.8,7979841,WAL_MART
2017-03-09,69.75,70.04,69.56,69.86,7564480,WAL_MART
2017-03-10,70.0,70.36,69.8,70.1,7098829,WAL_MART
2017-03-13,69.99,70.45,69.71,69.95,6802511,WAL_MART
2017-03-14,70.82,71.2,70.72,70.72,9958370,WAL_MART
2017-03-15,70.5,70.7,70.02,70.58,8813794,WAL_MART
2017-03-16,70.11,70.7,70.07,70.44,7060977,WAL_MART
2017-03-17,70.58,70.75,69.81,69.89,14078353,WAL_MART
2017-03-20,70.14,70.45,69.71,69.98,7466226,WAL_MART
2017-03-21,70.17,70.4,69.69,69.9,8746812,WAL_MART
2017-03-22,70.03,70.34,69.72,70.25,6455594,WAL_MART
2017-03-23,70.2,70.31,69.74,69.86,6898774,WAL_MART
2017-03-24,69.99,70.17,69.53,69.61,5858968,WAL_MART
2017-03-27,69.52,70.07,69.36,69.66,5792586,WAL_MART
2017-03-28,69.33,70.37,69.33,70.32,7252189,WAL_MART
2017-03-29,70.35,71.18,70.31,70.74,6991046,WAL_MART
2017-03-30,70.69,71.72,70.64,71.59,8141535,WAL_MART
2017-03-31,71.32,72.56,71.23,72.08,9939780,WAL_MART
2017-03-01,181.85,184.8,181.82,183.91,5461751,BOEING
2017-03-02,184.0,185.71,182.97,182.99,4909023,BOEING
2017-03-03,183.04,183.58,181.45,182.18,3940363,BOEING
2017-03-06,181.4,182.3,180.43,180.93,4244029,BOEING
2017-03-07,180.64,182.84,180.62,182.02,2451990,BOEING
2017-03-08,182.4,182.69,181.49,181.74,2321738,BOEING
2017-03-09,181.43,182.59,179.58,180.57,3100466,BOEING
2017-03-10,181.9,181.97,177.92,178.7,4595621,BOEING
2017-03-13,177.16,179.19,177.07,179.05,3499021,BOEING
2017-03-14,178.54,179.69,177.71,178.73,2346666,BOEING
2017-03-15,179.0,179.24,177.97,178.71,3569047,BOEING
2017-03-16,179.82,180.0,177.64,178.19,3100744,BOEING
2017-03-17,178.31,180.38,178.17,180.1,5037385,BOEING
2017-03-20,180.1,180.15,179.14,179.39,2062211,BOEING
2017-03-21,179.99,180.25,175.5,175.96,3239579,BOEING
2017-03-22,175.96,177.1,175.5,176.98,2505738,BOEING
2017-03-23,177.34,177.85,176.59,177.26,2006383,BOEING
2017-03-24,176.85,177.53,174.77,175.82,2386809,BOEING
2017-03-27,174.37,176.44,173.75,176.1,2750685,BOEING
2017-03-28,176.29,177.68,175.0,177.36,2412559,BOEING
2017-03-29,177.4,177.99,176.97,177.63,1640601,BOEING
2017-03-30,177.25,178.49,177.22,177.98,1737221,BOEING
2017-03-31,178.02,178.18,176.81,176.86,2032749,BOEING
2017-03-01,81.7,83.33,81.7,83.02,17482122,EXXONMOBIL
2017-03-02,82.8,84.25,82.79,83.3,14170309,EXXONMOBIL
2017-03-03,83.56,83.6,82.26,82.46,12304096,EXXONMOBIL
2017-03-06,82.44,82.9,82.33,82.83,9617240,EXXONMOBIL
2017-03-07,83.11,83.29,82.14,82.52,12711508,EXXONMOBIL
2017-03-08,82.35,82.38,81.01,81.03,16817743,EXXONMOBIL
2017-03-09,80.64,81.72,80.31,81.67,14721795,EXXONMOBIL
2017-03-10,82.44,82.47,81.16,81.61,11355151,EXXONMOBIL
2017-03-13,81.5,81.94,81.05,81.42,9571361,EXXONMOBIL
2017-03-14,81.0,81.23,80.44,80.99,11335678,EXXONMOBIL
2017-03-15,81.35,82.06,81.04,82.0,11970300,EXXONMOBIL
2017-03-16,82.03,82.2,81.67,82.07,9923804,EXXONMOBIL
2017-03-17,82.03,82.26,81.82,82.0,18834129,EXXONMOBIL
2017-03-20,81.72,82.04,81.44,82.0,7700258,EXXONMOBIL
2017-03-21,82.16,82.35,81.6,81.83,13387665,EXXONMOBIL
2017-03-22,81.96,82.09,81.43,81.76,11168417,EXXONMOBIL
2017-03-23,81.63,82.22,81.46,81.86,8927991,EXXONMOBIL
2017-03-24,82.03,82.03,81.15,81.23,9128489,EXXONMOBIL
2017-03-27,80.82,81.43,80.79,81.25,8481162,EXXONMOBIL
2017-03-28,81.32,82.02,80.96,81.84,11028598,EXXONMOBIL
2017-03-29,81.69,82.28,81.55,82.02,8495457,EXXONMOBIL
2017-03-30,82.03,83.87,81.94,83.7,44704931,EXXONMOBIL
2017-03-31,83.26,83.31,81.86,82.01,21750398,EXXONMOBIL
2017-03-01,52.14,52.48,52.12,52.35,3110204,SHELL
2017-03-02,52.33,52.5,52.23,52.23,2224337,SHELL
2017-03-03,52.3,52.65,52.27,52.46,2397925,SHELL
2017-03-06,52.29,52.7,52.18,52.69,2251562,SHELL
2017-03-07,52.58,52.67,52.37,52.45,2469834,SHELL
2017-03-08,51.95,52.01,51.05,51.05,4165234,SHELL
2017-03-09,50.43,51.35,50.32,51.34,4538049,SHELL
2017-03-10,51.98,52.01,51.44,51.74,3718342,SHELL
2017-03-13,51.94,52.16,51.8,51.99,3963571,SHELL
2017-03-14,51.42,51.43,50.75,50.95,3848026,SHELL
2017-03-15,51.41,52.14,51.24,52.08,3276873,SHELL
2017-03-16,52.65,52.65,52.22,52.42,3299761,SHELL
2017-03-17,52.9,52.95,52.66,52.7,2668723,SHELL
2017-03-20,52.6,52.61,52.2,52.41,2885517,SHELL
2017-03-21,52.95,53.0,52.48,52.73,2924071,SHELL
2017-03-22,52.21,52.73,52.02,52.55,2836852,SHELL
2017-03-23,52.3,52.7,52.23,52.46,2242319,SHELL
2017-03-24,52.12,52.27,52.02,52.06,2831087,SHELL
2017-03-27,52.12,52.44,52.01,52.27,2657874,SHELL
2017-03-28,52.54,53.07,52.46,52.85,3235281,SHELL
2017-03-29,52.41,53.27,52.39,53.23,3556179,SHELL
2017-03-30,53.29,53.33,52.97,53.0,2787331,SHELL
2017-03-31,52.74,52.86,52.56,52.73,1923725,SHELL
2017-03-01,40.69,41.0,40.69,40.84,2652566,HSBC
2017-03-02,40.84,40.93,40.74,40.77,2198633,HSBC
2017-03-03,40.94,41.09,40.86,41.01,1643807,HSBC
2017-03-06,40.85,40.88,40.62,40.77,1552541,HSBC
2017-03-07,40.57,40.65,40.5,40.57,1260445,HSBC
2017-03-08,40.79,40.87,40.51,40.51,1449473,HSBC
2017-03-09,40.7,40.7,40.51,40.57,1883778,HSBC
2017-03-10,40.49,40.59,40.36,40.58,1989154,HSBC
2017-03-13,41.05,41.27,41.01,41.16,2070930,HSBC
2017-03-14,40.68,40.8,40.59,40.75,1501517,HSBC
2017-03-15,40.86,41.16,40.85,41.15,1917280,HSBC
2017-03-16,41.43,41.53,41.24,41.41,2324764,HSBC
2017-03-17,41.13,41.2,40.78,40.91,2367023,HSBC
2017-03-20,40.85,40.85,40.65,40.66,2041538,HSBC
2017-03-21,41.15,41.21,40.59,40.64,2746117,HSBC
2017-03-22,40.3,40.6,40.27,40.5,2634016,HSBC
2017-03-23,40.45,40.62,40.43,40.55,2164617,HSBC
2017-03-24,40.56,40.66,40.36,40.56,1741145,HSBC
2017-03-27,40.5,40.78,40.41,40.69,2366455,HSBC
2017-03-28,40.75,41.16,40.74,41.05,1818976,HSBC
2017-03-29,40.72,40.97,40.71,40.86,1623107,HSBC
2017-03-30,40.87,41.14,40.86,41.05,1692593,HSBC
2017-03-31,40.93,40.98,40.78,40.82,1625899,HSBC
2017-03-01,137.89,140.15,137.6,139.79,36414585,APPLE
2017-03-02,140.0,140.28,138.76,138.96,26210984,APPLE
2017-03-03,138.78,139.83,138.59,139.78,21571121,APPLE
2017-03-06,139.36,139.77,138.6,139.34,21750044,APPLE
2017-03-07,139.06,139.98,138.79,139.52,17446297,APPLE
2017-03-08,138.95,139.8,138.82,139.0,18707236,APPLE
2017-03-09,138.74,138.79,137.05,138.68,22155904,APPLE
2017-03-10,139.25,139.36,138.64,139.14,19612801,APPLE
2017-03-13,138.85,139.43,138.82,139.2,17421717,APPLE
2017-03-14,139.3,139.65,138.84,138.99,15309065,APPLE
2017-03-15,139.41,140.75,139.02,140.46,25691774,APPLE
2017-03-16,140.72,141.02,140.26,140.69,19231998,APPLE
2017-03-17,141.0,141.0,139.89,139.99,43884952,APPLE
2017-03-20,140.4,141.5,140.23,141.46,21542038,APPLE
2017-03-21,142.11,142.8,139.73,139.84,39529912,APPLE
2017-03-22,139.84,141.6,139.76,141.42,25860165,APPLE
2017-03-23,141.26,141.58,140.61,140.92,20346301,APPLE
2017-03-24,141.5,141.74,140.35,140.64,22395563,APPLE
2017-03-27,139.39,141.22,138.62,140.88,23575094,APPLE
2017-03-28,140.91,144.04,140.62,143.8,33374805,APPLE
2017-03-29,143.68,144.49,143.19,144.12,29189955,APPLE
2017-03-30,144.19,144.5,143.5,143.93,21207252,APPLE
2017-03-31,143.72,144.27,143.01,143.66,19661651,APPLE
2017-03-01,114.24,116.04,114.01,115.51,3857124,MONSANTO
2017-03-02,115.2,115.5,114.7,114.87,1478834,MONSANTO
2017-03-03,115.0,115.5,114.93,114.97,1851084,MONSANTO
2017-03-06,114.85,115.29,114.51,114.65,1140162,MONSANTO
2017-03-07,114.53,115.35,114.49,115.06,1573185,MONSANTO
2017-03-08,115.02,115.07,114.09,114.17,1777012,MONSANTO
2017-03-09,114.18,114.97,113.51,113.79,2265543,MONSANTO
2017-03-10,114.08,114.63,113.8,114.06,1289113,MONSANTO
2017-03-13,114.12,114.45,113.85,114.14,1330470,MONSANTO
2017-03-14,113.9,114.2,113.51,113.97,1740176,MONSANTO
2017-03-15,113.8,113.9,113.18,113.37,3021063,MONSANTO
2017-03-16,113.32,113.74,112.38,112.51,3102275,MONSANTO
2017-03-17,112.75,113.06,111.92,112.76,4992756,MONSANTO
2017-03-20,112.94,114.07,112.56,113.81,2172164,MONSANTO
2017-03-21,113.29,114.3,112.49,112.8,2537118,MONSANTO
2017-03-22,112.78,113.45,112.41,113.37,1364307,MONSANTO
2017-03-23,113.43,113.78,112.75,113.16,1932876,MONSANTO
2017-03-24,113.09,113.8,113.09,113.67,1602881,MONSANTO
2017-03-27,113.21,114.52,113.2,114.09,2367071,MONSANTO
2017-03-28,113.92,114.45,113.79,114.16,1761712,MONSANTO
2017-03-29,114.0,114.18,113.77,113.9,2101351,MONSANTO
2017-03-30,113.7,114.17,113.24,113.35,1620943,MONSANTO
2017-03-31,113.2,113.79,113.15,113.2,2302114,MONSANTO
2017-03-01,9.47,9.6,9.31,9.55,74297,PETROBRAS
2017-03-02,9.46,9.53,9.24,9.27,39402,PETROBRAS
2017-03-03,9.18,9.59,9.18,9.59,35402,PETROBRAS
2017-03-06,9.59,9.59,9.47,9.54,14356,PETROBRAS
2017-03-07,9.42,9.58,9.42,9.51,52611,PETROBRAS
2017-03-08,9.54,9.57,9.33,9.4,33666,PETROBRAS
2017-03-09,9.33,9.54,9.29,9.4,70964,PETROBRAS
2017-03-10,9.39,9.53,9.17,9.36,60028,PETROBRAS
2017-03-13,9.25,9.5,9.25,9.49,30920,PETROBRAS
