Date,Open,High,Low,Close,Volume,Company
2017-10-10,608.0,609.5,601.0,608.0,6052203,BRITISH_AIRWAYS
2017-10-10,141.9,142.05,140.3,141.35,992688,VOLKSWAGEN
2017-10-10,2668000.0,2682000.0,2640000.0,2640000.0,396250,SAMSUNG
2017-10-10,83.3,83.9,83.15,83.7,4323408,NESTLE
2017-10-10,23.97,24.92,23.72,24.58,4367847,LUFTHANSA
2017-10-10,2.42,2.42,2.36,2.38,26250,TOSHIBA
2017-10-10,88.91,88.91,88.05,88.42,1187029,BMW
2017-10-10,116.95,117.85,116.65,117.0,1156344,BAYER
2017-10-10,90.05,90.37,89.54,90.0,1159041,BASF
2017-10-10,195.9,196.75,194.2,195.0,346239,ADIDAS
2017-10-10,15.73,15.74,15.64,15.67,6022494,DEUTSCHE_TELEKOM
2017-10-10,193.9,194.3,192.7,193.5,803314,ALLIANZ
2017-10-10,93.37,94.02,92.86,93.51,236949,DEUTSCHE_BORSE_AG
2017-10-10,11.6,11.69,11.5,11.58,6482539,COMMERZBANK
2017-10-10,638.5,651.5,634.0,645.0,1093118,INMARSAT
2017-10-10,9.67,9.7,9.54,9.59,7654976,E_ON
2017-10-10,19.87,19.88,19.66,19.8,2489433,RWE
2017-10-10,22.88,23.21,22.64,23.14,5529569,THYSSEN
2017-10-10,21.68,21.75,21.44,21.51,2554894,INFINEON
2017-10-10,68.5,68.54,67.66,67.98,3582439,DAIMLERCHRYSLER
2017-10-10,103.35,105.6,103.2,105.6,112662,HENKEL
2017-10-10,174.85,177.25,174.85,175.9,500177,LINDE
2017-10-10,84.81,85.64,84.74,85.61,408858,HEIDELBERGCEMENT
2017-10-10,120.2,120.2,118.75,119.75,1320033,SIEMENS
2017-10-10,36.36,36.5,36.08,36.31,1184571,VONOVIA
2017-10-10,10.44,10.7,10.42,10.59,72993,GERRY_WEBER_INTERNATIONAL
2017-10-10,37.6,38.16,37.52,38.06,2654641,DEUTSCHE_POST
2017-10-10,91.28,91.86,91.13,91.55,221200,BEIERSDORF_AG
2017-10-10,25.18,25.18,24.85,24.98,44575,VIENNA_INSURANCE_GROUP_VIG
2017-10-10,4735.0,4845.0,4735.0,4761.0,104684,RENISHAW
2017-10-10,29.89,30.0,29.68,29.7,865687,PROSIEBENSAT1_MEDIA
2017-10-10,5135.0,5150.0,5080.0,5115.0,346069,NEXT
2017-10-10,184.5,184.85,183.55,183.55,392095,MUNICH_RE
2017-10-10,13.25,13.31,13.21,13.26,3328444.0,AIR_FRANCE
2017-10-10,80.45,81.5,79.1,80.8,5548083.0,NATIONAL_ALUMINIUM_CO
2017-10-10,518.15,535.0,518.15,527.35,12054.0,SASKEN
2017-10-10,21289.0,21299.0,21055.2,21226.6,10886.0,BOSCH
