Date,Open,High,Low,Close,Volume,Company
2017-10-03,37.42,37.64,37.37,37.55,658406,SONY
2017-10-03,156.75,157.46,156.36,156.86,2188429,MCDONALD_S
2017-10-03,24.61,24.83,24.33,24.8,33907539,GE
2017-10-03,55.33,55.62,54.85,55.58,17405089,WELLS_FARGO
2017-10-03,67.19,67.93,66.96,67.81,5709615,YAHOO
2017-10-03,78.83,79.66,78.75,79.22,7936742,WAL_MART
2017-10-03,255.99,258.26,254.69,255.46,3163415,BOEING
2017-10-03,81.41,81.97,81.3,81.76,6081997,EXXONMOBIL
2017-10-03,60.6,61.08,60.58,60.9,2851954,SHELL
2017-10-03,49.25,49.58,49.23,49.55,917542,HSBC
2017-10-03,154.01,155.09,153.91,154.48,16230293,APPLE
2017-10-03,120.01,120.1,119.41,119.69,2144938,MONSANTO
2017-10-03,12.84,13.2,12.7,13.1,59497,PETROBRAS
2017-10-03,96.83,97.43,96.77,97.35,9633452,J_P_MORGAN
2017-10-03,117.08,118.25,117.01,117.82,3892189,CHEVRON
2017-10-03,131.65,132.4,131.36,132.1,3900761,JOHNSON_AND_JOHNSON
2017-10-03,119.52,120.36,119.51,120.34,159858,TOYOTA
2017-10-03,241.07,242.71,239.69,241.62,2010771,GOLDMAN_SACHS
2017-10-03,48.95,48.96,48.54,48.69,12710761,ORACLE
2017-10-03,17.96,17.99,17.84,17.96,2740102,FIAT_1
2017-10-03,17.1,17.13,17.01,17.07,2240980,DEUTSCHE_BANK
2017-10-03,49.45,50.02,49.43,49.85,10218605,VERIZON
2017-10-03,146.69,147.2,146.34,146.78,2302724,IBM
2017-10-03,335.9,348.55,331.28,348.14,10153596,TESLA_MOTORS
2017-10-03,39.19,39.48,39.09,39.48,16067551,AT_T
2017-10-03,44.86,45.26,44.76,45.19,12038102,COCA_COLA
2017-10-03,33.72,33.9,33.61,33.85,13346858,CISCO
2017-10-03,45.42,45.51,44.78,44.93,8635491,HALLIBURTON
2017-10-03,20.99,21.06,20.48,21.05,10003797,MACY_S
2017-10-03,20.05,20.21,20.02,20.09,6592771,HEWLETT_PACKARD
2017-10-03,36.02,36.2,35.75,36.14,13594288,PFIZER
2017-10-03,52.0,52.05,51.4,51.47,8126729,NIKE
2017-10-03,169.3,170.73,169.2,169.96,8190273,FACEBOOK_INC
2017-10-03,74.67,74.88,74.2,74.26,12190403,MICROSOFT
2017-10-03,38.95,39.7,38.95,39.38,34002193,INTEL
2017-10-03,124.98,125.53,124.35,125.51,2166124,CATERPILLAR
2017-10-03,160.66,163.34,160.31,163.01,1563415,AETNA
2017-10-03,166.32,167.29,165.03,165.08,2839448,COSTCO
2017-10-03,105.65,105.9,105.29,105.59,4411064,VISA
2017-10-03,80.52,81.31,80.52,80.91,6732607,CVS
2017-10-03,91.96,92.34,91.56,92.12,5909908,PROCTER_GAMBLE
2017-10-03,26.0,26.16,25.85,26.02,3849198,TWENTYFIRST_CENTURY_FOX
2017-10-03,100.05,100.85,99.91,100.79,5447727,DISNEY
2017-10-03,212.62,214.6,211.38,214.57,1634888,3M
2017-10-03,69.26,69.57,68.85,69.06,6124491,SCHLUMBERGER
2017-10-03,176.06,178.78,173.61,178.56,16714610,ALIBABA_GROUP
2017-10-03,48.31,48.44,48.15,48.39,2229678,RIO_TINTO
2017-10-03,317.11,317.8,313.91,317.39,850873,BIOGEN
2017-10-03,50.17,50.23,49.23,49.24,6742130,CONOCOPHILLIPS
2017-10-03,90.59,91.64,90.59,91.43,2912299,AMERICAN_EXPRESS
2017-10-03,164.06,165.28,164.0,165.17,3046381,HOME_DEPOT
2017-10-03,110.66,111.21,110.65,110.94,378242,SAP
2017-10-03,958.0,963.69,950.37,957.1,2666574,AMAZON_COM
2017-10-03,64.55,64.58,63.78,64.37,6507064,MERCK_KGAA
2017-10-03,954.0,958.0,949.14,957.79,888346,ALPHABET_INC
2017-10-03,118.0,118.0,117.28,117.71,2211082,UNITED_TECHNOLOGIES
2017-10-03,154.93,155.25,152.46,153.63,671515,SHIRE
2017-10-03,41.29,41.29,40.83,40.94,8036217,MONDELEZ_INTERNATIONAL
2017-10-03,34.39,34.41,34.29,34.38,104427,CANON
2017-10-03,29.43,29.5,28.93,29.02,3934154,BOSTON_SCIENTIFIC
2017-10-03,12.32,12.43,12.22,12.34,65641714,FORD
2017-10-03,278200.01,279660.0,277000.0,278699.99,226,BERKSHIRE_HATHAWAY
2017-10-03,18.88,19.16,18.14,18.82,22565501,TEVA_PHARMACEUTICALS
2017-10-03,146.47,146.64,145.12,146.08,2097807,CELGENE_CORPORATION
2017-10-03,59.05,59.24,58.44,58.58,3579963,TARGET_CORPORATION
2017-10-03,197.5,199.44,197.26,198.63,2533804,UNITEDHEALTH_GROUP
2017-10-03,83.5,84.23,82.13,83.19,6513179,GILEAD_SCIENCES
2017-10-03,29.95,30.2,29.86,30.2,551533,HONDA
2017-10-03,72.62,72.62,71.22,71.82,508905,STERICYCLE
2017-10-03,49.53,49.73,49.41,49.72,127509,FRESENIUS
2017-10-03,250.0,250.49,246.51,247.0,2000741,BAIDU
2017-10-03,18.2,18.28,17.97,18.06,1302660,KBR
2017-10-03,33.96,34.24,33.77,34.1,1324468,TERADATA_CORPORATION
2017-10-03,10.3,10.34,10.06,10.28,11682347,TRANSOCEAN
2017-10-03,33.87,33.99,33.22,33.31,1876659,GOODYEAR
2017-10-03,49.53,49.73,49.41,49.72,127509,FRESENIUS_MEDICAL_CARE
2017-10-03,41.0,41.27,40.59,41.05,960255,FLIR_SYSTEMS
2017-10-03,192.0,193.72,190.01,192.87,422424,AMG
2017-10-03,38.43,38.49,38.01,38.29,1832307,CONTINENTAL
2017-10-03,123.31,123.73,122.39,123.7,1275588,TRAVELERS_COS
2017-10-03,48.2,48.27,47.36,47.6,1302808,MICHAEL_KORS_HOLDINGS
2017-10-03,7.72,8.01,7.71,7.96,6718142,PANDORA
2017-10-03,9.2,9.45,9.15,9.4,304059,RICHMONT_MINES
2017-10-03,51.16,51.76,51.01,51.38,1298151,ROBERT_HALF_INTERNATIONAL
2017-10-03,57.1,57.35,56.82,57.05,1448710,REALTY_INCOME
2017-10-03,112.58,114.5,112.51,114.33,612733,FERRARI
2017-10-03,21.72,21.85,21.37,21.83,1476456,MICHAELS_STORES
2017-10-03,61.98,62.41,61.92,62.18,1408197,BAT
2017-10-03,5.64,5.65,5.6,5.63,13632726,SONY_ERICSSON
2017-10-03,607.0,622.5,607.0,622.5,7333004,BRITISH_AIRWAYS
2017-10-03,82.35,83.35,82.25,83.3,4511872,NESTLE
2017-10-03,643.0,644.0,633.0,638.5,1126932,INMARSAT
2017-10-03,175.15,177.65,175.03,176.74,2167196,FEMSA
2017-10-03,25.18,25.18,25.02,25.05,64116,VIENNA_INSURANCE_GROUP_VIG
2017-10-03,4832.0,4872.0,4798.0,4844.0,53585,RENISHAW
2017-10-03,5300.0,5325.0,5260.0,5320.0,392155,NEXT
2017-10-03,13.555,13.635,13.47,13.59,1995977.0,AIR_FRANCE
2017-10-03,4.31,4.42,4.31,4.36,103909.0,LENOVO
2017-10-03,80.0,81.75,78.85,79.75,7130205.0,NATIONAL_ALUMINIUM_CO
2017-10-03,496.0,512.0,479.8,505.15,13624.0,SASKEN
2017-10-03,20935.0,20935.0,20350.0,20397.8,7396.0,BOSCH
