DT_EOL|ID|TransactionID|CreateDate|ModifyDate|Deleted|No|Currency|Name|Market|SumInclVAT|SumExclVAT|ItemsCount|SumInclVATCm|SumVATOnly|SumVATOnlyCm|SumExclVATCm|Discount
DT_EOL|c2497cb1-da9d-4cb9-837d-9feb9e10b9b6||20.5.2015 0:00:00|6.6.2017 11:51:13|0|121512160|EUR|VRATKA- BD- Opravný daňový doklad k fa 121511182|sk|1576,1700|1313,0600|5|56,8500|263,1100|9,4900|47,3600|0,0000
DT_EOL|4185339f-13b6-48a0-8373-beed706adaa3||21.5.2015 0:00:00|6.6.2017 11:51:13|0|121512355|EUR|VRATKA- BD-Opravný daňový doklad k fa 121511496|sk|1493,2700|1244,0200|7|53,8600|249,2500|8,9900|44,8700|0,0000
DT_EOL|94f0174e-1f69-42ae-b912-5d3bcfc1a8ff||2.7.2015 0:00:00|6.6.2017 11:51:13|0|121516804|EUR|VRATKA- BD 2x!- Opravný daňový doklad k fa 121511558|sk|2188,8900|1824,0400|9|78,9500|364,8500|13,1600|65,7900|0,0000
DT_EOL|a20109dd-56b1-4e68-a7a3-a8b8d0013642||17.7.2015 0:00:00|6.6.2017 11:51:13|0|131505272|PLN|VRATKA BD - Opravný daňový doklad k fa 131502717|pl|1564,5700|1271,9800|3|241,0000|292,5900|45,0700|195,9300|0,0000
DT_EOL|3b5a46de-528f-4e3f-91d0-1b749e7820b3||4.8.2015 0:00:00|6.6.2017 11:51:13|0|131506638|PLN|VRATKA - POSKOZENO Opravný daňový doklad k fa 131504912|pl|1766,6000|1630,6000|2|272,1200|136,0000|20,9500|251,1700|0,0000
DT_EOL|5b2beb42-093e-477a-8581-2ef4fffe855a||27.8.2015 0:00:00|19.6.2017 13:06:20|0|111593700|CZK|VRATKA- Opravný daňový doklad k fa 111577035|cz|1174,0000|1063,9800|2|1174,0000|110,0200|110,0200|1063,9800|0,0000
DT_EOL|01fb7c9a-3353-430c-b282-ac2f5a12f8cb||3.9.2015 0:00:00|6.6.2017 11:51:13|0|121522948|EUR|VRATKA- Opravný daňový doklad k fa 121523180 placeno 8/9|sk|1616,7000|1347,4800|8|59,6900|269,2200|9,9400|49,7500|0,0000
DT_EOL|5ff9c551-d0e0-4fe2-95b7-4f53b7558464|653528|9.9.2015 0:00:00|6.6.2017 11:51:13|0|131510310|PLN|VRATKA castecna - Opravný daňový doklad k fa 131508263 (placeno mBank 16.9.15)|pl|549,7000|446,8800|1|85,4900|102,8200|15,9900|69,5000|0,0000
DT_EOL|cb43ff24-5f20-43a1-a01c-a4f4cd0e7fbb|670246|2.10.2015 0:00:00|6.6.2017 11:51:13|0|131512934|PLN|VRATKA BD - Opravný daňový doklad k fa 131512238|pl|864,2700|795,1800|3|134,6000|69,0900|10,7600|123,8400|0,0000
DT_EOL|99465fbc-8169-4c0b-b301-33f28d94133e|673757|12.10.2015 0:00:00|6.6.2017 11:51:13|0|131513801|PLN|VRATKA - Opravný daňový doklad k fa 131513243|pl|3188,1100|2591,9500|2|499,0000|596,1600|93,3100|405,6900|0,0000
